               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12441,            0.045944,            0.062267,              0.5403,            0.086045,            0.055231,            0.018789,             0.11065,            0.045313,            0.052431,            0.070577,           0.0032692,           0.0032692
                   1,             0.10894,             0.04733,            0.048984,             0.62291,             0.14336,             0.10719,            0.048063,              0.1029,             0.03887,            0.044744,            0.040414,           0.0064392,           0.0064392
                   2,             0.10578,            0.048891,            0.044604,             0.53915,             0.15566,              0.1348,            0.064002,             0.10036,            0.039058,            0.041629,            0.010085,           0.0094441,           0.0094441
                   3,             0.10131,            0.049257,            0.041926,             0.57771,             0.17049,             0.16856,            0.083264,              0.0983,            0.039037,            0.040549,           0.0092575,           0.0092575,           0.0092575
                   4,            0.098947,            0.049501,            0.040252,             0.63835,             0.18605,             0.19416,             0.10147,            0.095788,            0.039361,            0.038452,           0.0092575,           0.0092575,           0.0092575
                   5,            0.097732,            0.049457,             0.03935,             0.66491,             0.18853,             0.20878,             0.11574,             0.09371,            0.038747,            0.037567,             0.00901,             0.00901,             0.00901
                   6,            0.096752,             0.04917,            0.038449,             0.70448,             0.19787,             0.22079,              0.1228,            0.093519,            0.039013,            0.037045,           0.0087625,           0.0087625,           0.0087625
                   7,            0.096154,            0.048255,            0.037732,             0.64933,             0.20565,             0.22069,             0.12366,            0.093195,            0.038802,             0.03673,            0.008515,            0.008515,            0.008515
                   8,            0.095552,            0.048536,            0.037546,             0.68124,             0.20766,             0.22882,             0.12808,            0.093008,            0.038697,            0.036311,           0.0082675,           0.0082675,           0.0082675
                   9,            0.094763,            0.048554,            0.037072,             0.70142,             0.21689,             0.23792,             0.13374,              0.0925,            0.038417,            0.036382,             0.00802,             0.00802,             0.00802
                  10,            0.094598,            0.048055,             0.03668,             0.69834,             0.21404,             0.23377,             0.13346,            0.092078,            0.038502,            0.035946,           0.0077725,           0.0077725,           0.0077725
                  11,            0.094176,            0.048467,            0.036309,             0.63348,             0.21246,             0.23961,             0.13626,            0.091921,             0.03847,            0.035521,            0.007525,            0.007525,            0.007525
                  12,             0.09397,            0.048479,            0.036045,             0.65276,             0.22879,             0.24297,             0.13664,            0.092377,            0.038136,            0.035295,           0.0072775,           0.0072775,           0.0072775
                  13,            0.093792,            0.048518,             0.03555,             0.59077,             0.22393,             0.24419,             0.13837,            0.091585,            0.038483,            0.035264,             0.00703,             0.00703,             0.00703
                  14,            0.093083,            0.047722,            0.035341,              0.6782,             0.22516,             0.24918,             0.14004,             0.09183,            0.038757,            0.034983,           0.0067825,           0.0067825,           0.0067825
                  15,            0.093083,            0.047718,            0.035148,             0.62337,             0.22362,             0.25137,             0.14109,            0.091431,             0.03837,            0.034759,            0.006535,            0.006535,            0.006535
                  16,            0.092681,            0.047428,            0.034979,             0.57627,             0.22646,             0.25169,             0.14309,            0.091283,            0.038405,            0.034591,           0.0062875,           0.0062875,           0.0062875
                  17,            0.092859,            0.047678,             0.03491,             0.68649,              0.2241,             0.25128,             0.14406,            0.091283,            0.038172,            0.034388,             0.00604,             0.00604,             0.00604
                  18,            0.092809,            0.047691,            0.034638,             0.66272,             0.24276,             0.26508,              0.1521,            0.091054,            0.037988,            0.034341,           0.0057925,           0.0057925,           0.0057925
                  19,            0.092369,            0.046936,            0.034587,             0.63004,             0.22927,             0.25651,             0.14512,            0.091132,            0.038359,            0.034432,            0.005545,            0.005545,            0.005545
                  20,            0.092177,              0.0477,            0.034234,             0.53966,             0.23765,             0.25922,             0.14994,            0.090862,            0.038357,              0.0344,           0.0052975,           0.0052975,           0.0052975
                  21,            0.092032,            0.046651,              0.0341,             0.58141,             0.24806,             0.26335,             0.15212,            0.090736,            0.038201,            0.034261,             0.00505,             0.00505,             0.00505
                  22,            0.091711,            0.045649,            0.033889,             0.58605,             0.24743,             0.26895,              0.1528,            0.090455,             0.03842,             0.03372,           0.0048025,           0.0048025,           0.0048025
                  23,            0.091752,            0.047333,             0.03332,              0.6326,             0.25243,             0.27198,             0.15624,            0.090544,            0.038223,            0.033883,            0.004555,            0.004555,            0.004555
                  24,            0.091168,             0.04682,            0.033296,             0.65972,             0.24784,             0.27072,             0.15581,            0.090379,            0.038135,            0.033623,           0.0043075,           0.0043075,           0.0043075
                  25,            0.091192,            0.046733,            0.033389,              0.5663,              0.2635,             0.27497,             0.15819,            0.090116,            0.037959,            0.033623,             0.00406,             0.00406,             0.00406
                  26,            0.090807,            0.046402,            0.032997,             0.60289,             0.26197,             0.27742,             0.15844,            0.090315,            0.038588,              0.0337,           0.0038125,           0.0038125,           0.0038125
                  27,            0.090807,            0.046181,            0.032854,             0.58952,             0.26564,             0.27941,             0.15985,            0.090164,            0.038521,            0.033885,            0.003565,            0.003565,            0.003565
                  28,            0.090659,            0.046382,            0.032931,             0.58748,             0.25038,             0.28148,             0.16133,            0.089931,            0.038152,            0.033686,           0.0033175,           0.0033175,           0.0033175
                  29,            0.090235,            0.045315,            0.032531,             0.64273,             0.25166,             0.28579,             0.16585,            0.089843,             0.03789,            0.033497,             0.00307,             0.00307,             0.00307
                  30,            0.090577,            0.046222,            0.032564,             0.60349,             0.25667,             0.28548,             0.16652,            0.089594,            0.038099,            0.033175,           0.0028225,           0.0028225,           0.0028225
                  31,            0.090163,            0.045612,            0.032308,             0.60114,             0.26044,             0.29015,             0.16724,            0.089573,            0.038049,            0.033156,            0.002575,            0.002575,            0.002575
                  32,             0.09037,             0.04518,            0.032308,              0.6445,             0.25671,             0.29076,             0.16947,            0.089602,            0.038181,            0.033096,           0.0023275,           0.0023275,           0.0023275
                  33,            0.090152,            0.046008,            0.032346,             0.60474,             0.26569,             0.29429,             0.17236,            0.089383,            0.037941,            0.033105,             0.00208,             0.00208,             0.00208
                  34,            0.089892,            0.044982,            0.032062,             0.59862,             0.26628,             0.29459,             0.17073,            0.089587,            0.037869,            0.033012,           0.0018325,           0.0018325,           0.0018325
                  35,            0.089517,            0.045197,            0.032005,             0.62911,             0.26052,              0.2976,             0.17164,            0.089396,            0.037875,            0.032988,            0.001585,            0.001585,            0.001585
                  36,            0.089594,            0.044718,            0.031887,             0.63063,             0.26337,             0.29414,             0.16978,             0.08929,            0.038094,            0.033091,           0.0013375,           0.0013375,           0.0013375
                  37,            0.089635,            0.044914,            0.031964,              0.5751,              0.2672,             0.29552,             0.17293,            0.089287,            0.038035,            0.032919,             0.00109,             0.00109,             0.00109
                  38,             0.08937,              0.0451,            0.031593,             0.61664,             0.26137,             0.29763,             0.17289,            0.089246,            0.037988,            0.032982,           0.0008425,           0.0008425,           0.0008425
                  39,            0.089207,            0.044695,            0.031399,             0.61437,              0.2697,             0.30076,             0.17618,            0.089142,            0.037869,            0.032763,            0.000595,            0.000595,            0.000595
